DATE,ITA_YOY
1/1/13,-5.2
2/1/13,-3.5
3/1/13,-2.3
4/1/13,-2.3
5/1/13,-0.7
6/1/13,-1.8
7/1/13,-0.2
8/1/13,0.0
9/1/13,1.0
10/1/13,1.2
11/1/13,1.8
12/1/13,1.8
01/1/14,3.8
02/1/14,2.7
03/1/14,4.2
04/1/14,-0.4
05/1/14,1.9
06/1/14,0.3
07/1/14,0.1
08/1/14,-0.5
09/1/14,0.7
10/1/14,0.4
11/1/14,0.4
12/1/14,-0.1
1/1/15,2.9
2/1/15,-0.2
3/1/15,-0.7
4/1/15,-0.5
5/1/15,-0.5
6/1/15,0.4
7/1/15,0.3
8/1/15,-1.4
9/1/15,0.6
10/1/15,0.7
11/1/15,-0.1
12/1/15,-1.5
1/1/16,0.1
2/1/16,-0.8
3/1/16,-0.3
4/1/16,-0.7
5/1/16,-1.5
6/1/16,-0.8
7/1/16,-0.2
8/1/16,0.5
9/1/16,0.7
10/1/16,1.0
11/1/16,2.0
12/1/16,2.0
1/1/17,0.9
2/1/17,1.6
3/1/17,1.5
4/1/17,4.1
5/1/17,2.3
6/1/17,3.3
7/1/17,2.5
8/1/17,4.0
9/1/17,3.0
10/1/17,3.3
11/1/17,4.2
12/1/17,5.8
1/1/18,1.4
2/1/18,4.0
3/1/18,5.1
4/1/18,4.5
5/1/18,4.8
6/1/18,3.7
7/1/18,3.8
8/1/18,3.6
9/1/18,3.5
10/1/18,5.6
11/1/18,4.6
12/1/18,4.7
1/1/19,2.3
2/1/19,3.3
3/1/19,2.8
4/1/19,2.7
5/1/19,4.2
6/1/19,1.5
7/1/19,2.2
8/1/19,0.5
9/1/19,2.4
10/1/19,-1.7
11/1/19,-2.3
12/1/19,-2.1
1/1/20,-0.2
2/1/20,-0.5
3/1/20,-4.2
4/1/20,-13.6
5/1/20,-21.3
6/1/20,-19.8
7/1/20,-12.8
8/1/20,-11.9
9/1/20,-8.5
10/1/20,-4.8
11/1/20,-5.3
12/1/20,-6.2
1/1/21,-2.2
2/1/21,-4.3
